date;tweet;user;place
2021-02-20 12:09:39;b'@barna0409 Tried. Did a extremely overwhelming job. @XiaomiIndia \nWaiting for India version of MIUI 12.5 or at the\xe2\x80\xa6 https://t.co/4GQKKDWUw0';b'Wahidkhan7852';b''
2021-02-20 12:07:04;b'Leak\n\nWhat else is launching besides the #RedmiNote10 and #RedmiNote10Pro?\n\nRedmi Note 10 Pro Max. It will come in\xe2\x80\xa6 https://t.co/NmjR3bc1J4';b'XiaomiIndiaFan2';b''
2021-02-20 11:59:51;b'What else is launching besides the #RedmiNote10 and #RedmiNote10Pro?\n\nRedmi Note 10 Pro Max. It will come in 2 stor\xe2\x80\xa6 https://t.co/tGIAxPI4j0';b'ishanagarwal24';b'\xe2\x81\xb7 Mount Weather'
2021-02-20 11:46:18;b'@DirtyDiamon_d Go for Xiaomi Redmi Note 8 or 9\n\n128G Memory\n6G RAM\n48MP Quad camera\n16MP front can\n\n90k-100k for no\xe2\x80\xa6 https://t.co/nkL7I8fgmY';b'OpenYourMindTV1';b'Federal Capital Territory, Nig'
2021-02-20 11:28:35;b'@undipmenfess Redmi note 8. Gua pake.. Worth  kok';b'HartaTahtaNana';b'Indonesia'
2021-02-20 11:20:12;b'Xiaomi Redmi 9 is Unconfirmed Specs it has Octa-core CPU, 4/6 GB RAM, 64/128 GB Storage, 6.6 inches Display, 13+8+5\xe2\x80\xa6 https://t.co/eDObgOT23g';b'ChauderyAhmed';b''
2021-02-20 11:20:11;b'@SpotifyCares Redmi note 4\nAndroid 7.0\nVer 8.6.0.830';b'greatleebon';b'Indonesia  \xf0\x9f\x87\xae\xf0\x9f\x87\xa9'
2021-02-20 10:50:19;b'Android 11 soon for Redmi note 8 users \xf0\x9f\x99\x8c\n@Siva_Bharani\nThank you Nanba \xf0\x9f\xa4\x9d @TTechinical\n\nhttps://t.co/qm4zyT1Q05';b'haddin7';b''
2021-02-20 10:42:37;b'Redmi Note 8 gets Android 11 update in China \n\n#Xiaomi #redminote8 https://t.co/MHRuhzcQoi';b'RaghavTechie';b'India'
2021-02-20 10:40:24;b'@chunvn8888 What ??? Redmi note 8 is gonna receive android 11 update ??? \xf0\x9f\x98\xb3\xf0\x9f\x98\xb3 Really...!!??';b'Zaheer__Khan098';b'Mumbai, India'
2021-02-20 10:16:30;b'Redmi note 8 getting android 11 update in china. #Redmi #Redminote8 #Android11 https://t.co/bpLc7IzMVD';b'Ninadhjampala';b''
