date,tweet,user,place
2021-02-11 12:36:44,b'@morradetijuana Samsung te lo cumple! https://t.co/7pF9egpJpy',b'almostorta',"b'Mendoza, Argentina'"
2021-02-11 12:36:35,b'@Ruffaiii @loadingiguess Those were taken on a samsung?! Omg what phone do you have',b'naimzabi',"b'at mosque, praying.'"
2021-02-11 12:36:16,"b""I've entered to win a Samsung S21+ 5G and Incipio case collection! Grab your entries here! https://t.co/uiUZgKBZ87""",b'kywave',b''
2021-02-11 12:36:09,b'Check out this Amazon deal: Samsung SSD 860 EVO 1TB 2.5 Inch SATA III Internal SSD (MZ-76E1T0B/AM) by SAMSUNG\xe2\x80\xa6 https://t.co/MQhLGHRnUU',b'MootreyLisa',"b'Newfoundland and Labrador, Canada'"
2021-02-11 12:36:02,"b""@SamsungUK Disappointed with Samsung's decision not to include a charger with your new handsets!\xf0\x9f\xa4\xac A lifelong Samsun\xe2\x80\xa6 https://t.co/0kZgZblM27""",b'neilson_gs',b'Republic of Wales'
2021-02-11 12:35:59,"b'@saypiyenajunho @zunu_rain No saypiiii, u should compare flagships with flagshipsss, even samsung lepas dia tukar t\xe2\x80\xa6 https://t.co/YAgAztvP02'",b'izzsyahmi',b''
2021-02-11 12:35:39,b'@ThreeUKSupport It\xe2\x80\x99s an upgrade and I am waiting on the Samsung Galaxy S21 Ultra.',b'pauldavidegan',"b'Blackpool, England'"
2021-02-11 12:35:28,b'I had went to Samsung Service center as my charging cable was not working. They asked me to buy whole mobile charge\xe2\x80\xa6 https://t.co/tiyP7BIQ3G',b'OmGheware08',"b'Pune, India'"
2021-02-11 12:35:22,b'@TechTabletscom Seems like to me samsung (both exynos and Qualcomm) is more aggressive on throttling (possibly for\xe2\x80\xa6 https://t.co/Io5tYzLdqd',b'D3ntheman',b''
2021-02-11 12:35:18,b'The in-display fingerprint sensor on the S21 Plus is larger than the one on previous Galaxy devices; it\xe2\x80\x99s also fair\xe2\x80\xa6 https://t.co/NZnrq1knih',b'iTasbiaHassan',"b'lahore,pakistan'"
2021-02-11 12:35:08,b'I\xe2\x80\x99m bout to blow up but I ain\xe2\x80\x99t talking Samsung \n\xf0\x9f\x98\xad\xf0\x9f\x98\xad Nicki',b'MINAJHOESS',b'nicki minaj is coming.'
